5.666000000000000000e+03,0.000000000000000000e+00,6.500000000000000000e+01,9.000000000000000000e+00,1.500000000000000000e+01,6.000000000000000000e+01,3.600000000000000000e+01,1.700000000000000000e+01,4.300000000000000000e+01,1.200000000000000000e+01
2.000000000000000000e+00,6.494000000000000000e+03,4.500000000000000000e+01,3.500000000000000000e+01,8.000000000000000000e+00,3.400000000000000000e+01,7.000000000000000000e+00,1.800000000000000000e+01,8.300000000000000000e+01,1.600000000000000000e+01
5.300000000000000000e+01,8.600000000000000000e+01,5.193000000000000000e+03,1.040000000000000000e+02,1.000000000000000000e+02,1.300000000000000000e+01,1.230000000000000000e+02,8.900000000000000000e+01,1.580000000000000000e+02,3.900000000000000000e+01
1.100000000000000000e+01,3.200000000000000000e+01,1.650000000000000000e+02,5.365000000000000000e+03,3.000000000000000000e+00,2.700000000000000000e+02,1.600000000000000000e+01,8.500000000000000000e+01,9.000000000000000000e+01,9.400000000000000000e+01
1.000000000000000000e+01,2.800000000000000000e+01,3.400000000000000000e+01,2.000000000000000000e+00,5.289000000000000000e+03,7.000000000000000000e+00,5.900000000000000000e+01,1.200000000000000000e+01,3.300000000000000000e+01,3.680000000000000000e+02
6.800000000000000000e+01,4.800000000000000000e+01,4.100000000000000000e+01,2.650000000000000000e+02,6.200000000000000000e+01,4.489000000000000000e+03,1.220000000000000000e+02,2.900000000000000000e+01,2.050000000000000000e+02,9.200000000000000000e+01
3.900000000000000000e+01,2.100000000000000000e+01,8.300000000000000000e+01,2.000000000000000000e+00,7.100000000000000000e+01,8.600000000000000000e+01,5.568000000000000000e+03,2.000000000000000000e+00,4.500000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,4.500000000000000000e+01,7.600000000000000000e+01,2.000000000000000000e+01,6.300000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,5.765000000000000000e+03,1.700000000000000000e+01,2.480000000000000000e+02
3.000000000000000000e+01,1.350000000000000000e+02,9.300000000000000000e+01,1.760000000000000000e+02,2.600000000000000000e+01,1.810000000000000000e+02,5.800000000000000000e+01,2.500000000000000000e+01,4.984000000000000000e+03,1.430000000000000000e+02
3.600000000000000000e+01,2.200000000000000000e+01,2.000000000000000000e+01,7.100000000000000000e+01,1.440000000000000000e+02,3.800000000000000000e+01,8.000000000000000000e+00,2.220000000000000000e+02,3.400000000000000000e+01,5.354000000000000000e+03
